"gene_id"	"class_code"	"nearest_ref_id"	"gene_short_name"	"locus"	"length"	"coverage"
"ENSMUSG00000000560.5"	NA	NA	"Gabra2"	"chr5:70961056-71095849"	NA	NA
"ENSMUSG00000000567.5"	NA	NA	"Sox9"	"chr11:112782223-112787760"	NA	NA
"ENSMUSG00000000579.8"	NA	NA	"Dynlt1c"	"chr17:6601670-6609774"	NA	NA
"ENSMUSG00000001349.4"	NA	NA	"Cnn1"	"chr9:22099280-22109630"	NA	NA
"ENSMUSG00000002100.9"	NA	NA	"Mybpc3"	"chr2:91118143-91136516"	NA	NA
"ENSMUSG00000002910.10"	NA	NA	"Arrdc2"	"chr8:70835154-70839720"	NA	NA
"ENSMUSG00000002944.9"	NA	NA	"Cd36"	"chr5:17781689-17888959"	NA	NA
"ENSMUSG00000003541.6"	NA	NA	"Ier3"	"chr17:35821683-35822923"	NA	NA
"ENSMUSG00000003657.8"	NA	NA	"Calb2"	"chr8:110142538-110168206"	NA	NA
"ENSMUSG00000004552.10"	NA	NA	"Ctse"	"chr1:131638305-131675503"	NA	NA
"ENSMUSG00000004655.5"	NA	NA	"Aqp1"	"chr6:55336431-55348555"	NA	NA
"ENSMUSG00000004891.10"	NA	NA	"Nes"	"chr3:87971077-87980451"	NA	NA
"ENSMUSG00000005220.4"	NA	NA	"Corin"	"chr5:72300024-72504473"	NA	NA
"ENSMUSG00000006221.7"	NA	NA	"Hspb7"	"chr4:141420778-141425311"	NA	NA
"ENSMUSG00000006445.3"	NA	NA	"Epha2"	"chr4:141301239-141329384"	NA	NA
"ENSMUSG00000006574.9"	NA	NA	"Slc4a1"	"chr11:102348823-102366203"	NA	NA
"ENSMUSG00000007021.4"	NA	NA	"Syngr3"	"chr17:24685091-24689955"	NA	NA
"ENSMUSG00000007122.5"	NA	NA	"Casq1"	"chr1:172209893-172219868"	NA	NA
"ENSMUSG00000007670.9"	NA	NA	"Khsrp"	"chr17:57021057-57031507"	NA	NA
"ENSMUSG00000007877.2"	NA	NA	"Tcap"	"chr11:98383810-98384953"	NA	NA
"ENSMUSG00000010066.9"	NA	NA	"Cacna2d2"	"chr9:107399611-107529346"	NA	NA
"ENSMUSG00000011179.7"	NA	NA	"Odc1"	"chr12:17544872-17551502"	NA	NA
